District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
Happy Camp Union Elementary (Siskiyou),Siskiyou,Elementary School District,110,77.3,77.27,N/A,N/A,N/A,7.9,29.5,9.23,17.91,13585,76081,N/A
Shoreline Unified (Marin),Marin,Unified School District,508,66.9,68.9,42.1,94.3,N/A,3.7,17.7,27.41,43.63,29742,87808,N/A
Cienega Union Elementary (San Benito),San Benito,Elementary School District,25,32,44,28,N/A,0,0,6.3,35,42.11,11515,76081,N/A
Alpine County Office of Education (Alpine),Alpine,County Office of Education (COE),6023,0,0,N/A,N/A,0,N/A,N/A,37.2,48.3,14708,76081,N/A
Arena Union Elementary/Point Arena Joint Union High (Mendocino),Mendocino,Common Administration District,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,22151,57730,N/A
Modesto City Schools (Stanislaus),Stanislaus,Common Administration District,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,13243,93066,N/A
Petaluma City Elementary/Joint Union High (Sonoma),Sonoma,Common Administration District,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,12477,72581,N/A
Santa Cruz City Elementary/High (Santa Cruz),Santa Cruz,Common Administration District,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,14533,77764,N/A
Santa Rosa City Schools (Sonoma),Sonoma,Common Administration District,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,13576,74869,N/A
SBE - Celerity Rolas (Los Angeles),Los Angeles,State Board of Education Charter,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,14708,76081,N/A
SBE - Paramount Collegiate Academy (Sacramento),Sacramento,State Board of Education Charter,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,14708,76081,N/A
SBE - Wei Yu International Charter (Santa Clara),Santa Clara,State Board of Education Charter,6023,56.8,60,18.4,N/A,20.2,3.5,13.1,37.3,48.3,14708,76081,N/A
Southside Elementary (San Benito),San Benito,Elementary School District,213,21.6,27.7,16,N/A,N/A,2.2,6.8,50,68.53,9051,76081,N/A
Knights Ferry Elementary (Stanislaus),Stanislaus,Elementary School District,153,22.2,28.1,7.2,N/A,N/A,2.5,12.4,51.69,51.14,9294,48985,N/A
Magnolia Union Elementary (Imperial),Imperial,Elementary School District,141,17.7,20.57,5,N/A,N/A,0,1.4,57.3,63.33,10083,76081,N/A
Elkins Elementary (Tehama),Tehama,Elementary School District,13,92.3,92.31,N/A,N/A,13,0,28.6,37.2,48.3,14967,76081,33
Montgomery Elementary (Sonoma),Sonoma,Elementary School District,33,45.5,45.45,3,N/A,11,0,44.1,71.43,50,26233,66129,25
Klamath River Union Elementary (Siskiyou),Siskiyou,Elementary School District,12,75,75,N/A,N/A,12,7.7,23.1,37.2,48.3,22222,76081,24
Sierra County Office of Education (Sierra),Sierra,County Office of Education (COE),6023,0,0,N/A,N/A,0,N/A,N/A,37.2,48.3,14708,76081,21
Montebello Unified (Los Angeles),Los Angeles,Unified School District,25409,82.6,87.61,33.2,80.9,24.1,3,13.4,23.88,36.73,13362,97044,18
Vista del Mar Union (Santa Barbara),Santa Barbara,Elementary School District,51,39.2,43.14,27.5,N/A,10.9,1.9,21.2,27.27,30.3,30193,76081,18
Bitterwater-Tully Elementary (San Benito),San Benito,Elementary School District,35,25.7,34.29,11.4,N/A,17.5,0,7.9,28,68,10086,76081,18
Mountain View Elementary (Los Angeles),Los Angeles,Elementary School District,6346,92.2,95.1,55.5,N/A,21,1.8,7.4,28.38,39.57,10609,97079,18
Richgrove Elementary (Tulare),Tulare,Elementary School District,589,96.1,97.79,65.5,N/A,20.3,3.8,8.5,13.27,19.8,15801,79595,17
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8472,71.7,74.99,17.7,91.4,21.7,2.9,10.5,28.79,43.34,12467,81373,17
Summerville Elementary (Tuolumne),Tuolumne,Elementary School District,409,45.7,45.72,0.2,N/A,20,1.6,15.3,32.31,46.39,10788,76081,17
